Name,Phone Number,Address,Skills,Email,Previous Work Experience,Projects,Education,Licenses and Certifications
Gabriella Smith,568.333.3199,"6014 Dominguez Inlet, Sanchezborough, LA 53971","Google Analytics, Deep Learning, Qlik, NumPy, Apache Airflow",tinachavez@gmail.com,Junior Analyst at ABC Corp; Research Assistant at University of Data,Social Media Sentiment Analysis; Healthcare Data Analysis,"B.Tech in Information Technology, 2018; M.Tech in Data Analytics, 2016",Google Data Analytics Certificate; AWS Certified Data Analytics – Specialty
Allison Alexander,001-283-623-5712,"2538 Wade Turnpike Suite 331, Lake Chris, FL 11075","Keras, R, Matplotlib, Dash, Python",chadshaw@hotmail.com,Data Visualization Specialist at DataViz Ltd; ETL Developer at FlowTech,Credit Risk Modeling; Churn Prediction; Real-time Data Pipeline,"B.Tech in Information Technology, 2022; M.Sc. in Statistics, 2016",Tableau Desktop Specialist; Google Data Analytics Certificate; SAS Certified Data Scientist
Kimberly Thompson,+1-715-392-1268,"6212 Oneill Loop, Sarahfurt, TX 64370","Dash, Time Series Analysis, Jupyter, Matplotlib, Google Data Studio",belllinda@yahoo.com,Machine Learning Intern at AI Labs; ETL Developer at FlowTech; Freelance Data Consultant; Business Analyst at QRS Inc,Sales Forecasting; Marketing Campaign Analysis; Healthcare Data Analysis,"B.Tech in Information Technology, 2023",Cloudera Certified Associate (CCA) Data Analyst; Google Data Analytics Certificate; SAS Certified Data Scientist
William Taylor,(889)564-9363x622,"276 Gardner Walks Suite 388, Lake Meganmouth, DC 69529","RapidMiner, Statistics, Business Intelligence, SQL, Hadoop",brian92@yahoo.com,Freelance Data Consultant; Research Assistant at University of Data,Healthcare Data Analysis; Marketing Campaign Analysis,"M.Tech in Data Analytics, 2016",Udacity Data Analyst Nanodegree
Michael Gonzales,(554)542-8793x852,"5048 Kerry Station, Perezborough, NV 25087","Business Intelligence, Looker, BigQuery, Google Data Studio, Power BI",sara40@yahoo.com,Data Intern at XYZ Ltd; Research Assistant at University of Data; SQL Developer at DBMasters,Customer Segmentation; Real-time Data Pipeline,"B.Tech in Information Technology, 2019",Udacity Data Analyst Nanodegree
Nathaniel Conway,774.493.6545x426,"60624 Perez Overpass, Lake Jasonfort, ME 27606","NumPy, R, Data Governance, Deep Learning, Data Modelling",sharris@yahoo.com,Business Analyst at QRS Inc; Junior Analyst at ABC Corp; Machine Learning Intern at AI Labs; ETL Developer at FlowTech,Sales Forecasting; Real-time Data Pipeline,"B.Sc. in Mathematics, 2017; MBA in Business Analytics, 2021",IBM Data Science Professional Certificate; Tableau Desktop Specialist; DataCamp Data Scientist
Mark Harrison,1984195490,"2437 Heidi Crest, Lake Arielfort, OK 60848","Dash, D3.js, ETL, Amazon QuickSight, DataRobot",amy76@hotmail.com,Junior Analyst at ABC Corp; Research Assistant at University of Data,Sales Forecasting; Healthcare Data Analysis; Real-time Data Pipeline,"B.Sc. in Statistics, 2016",Google Data Analytics Certificate; IBM Data Science Professional Certificate; DataCamp Data Scientist
Douglas Roy,001-557-855-4553x0972,"494 Michelle Port, North Tabithamouth, WI 25360","ETL, Data Cleaning, SPSS, Hadoop, Apache Airflow",brianjohnson@yahoo.com,Machine Learning Intern at AI Labs; Research Assistant at University of Data,Credit Risk Modeling; Healthcare Data Analysis,"B.Sc. in Mathematics, 2023",SAS Certified Data Scientist; IBM Data Science Professional Certificate
Jared Travis,001-358-268-2680x74586,"26068 Derrick Creek Suite 139, Port Jacobhaven, KS 55496","TensorFlow, Deep Learning, Flask, A/B Testing, Time Series Analysis",adam20@hotmail.com,Business Analyst at QRS Inc; Data Visualization Specialist at DataViz Ltd; SQL Developer at DBMasters,Healthcare Data Analysis; Marketing Campaign Analysis,"B.Tech in Information Technology, 2019; B.Tech in Computer Science, 2018",IBM Data Science Professional Certificate
Catherine Colon,001-858-836-4707x8837,"21379 Scott Brooks Suite 128, South Susanburgh, AK 42162","Data Visualization, Pandas, DataRobot, Data Mining, Flask",jasonsmith@yahoo.com,Freelance Data Consultant; SQL Developer at DBMasters,Social Media Sentiment Analysis; Marketing Campaign Analysis; E-commerce Dashboard,"B.Sc. in Mathematics, 2015",Microsoft Certified: Data Analyst Associate; IBM Data Science Professional Certificate
Brandon Salinas,9826878168,"951 Duncan Unions Suite 873, Lake Thomas, MN 98991","Hadoop, Spark, Google Analytics, Google Data Studio, NoSQL",carolyn84@miller.info,SQL Developer at DBMasters; Research Assistant at University of Data,Social Media Sentiment Analysis; E-commerce Dashboard,"M.Tech in Data Analytics, 2022; M.Tech in Data Analytics, 2019",Udacity Data Analyst Nanodegree
John Hall,618-005-2970x3314,"053 Gonzalez Wells, East Gregoryfort, WA 88352","Dash, Kibana, SAS, Google Sheets, Exploratory Data Analysis",crichard@gmail.com,BI Developer at InsightWorks; SQL Developer at DBMasters,E-commerce Dashboard; Customer Segmentation; Fraud Detection System,"MBA in Business Analytics, 2019; B.Tech in Information Technology, 2020",SAS Certified Data Scientist
Michelle Maldonado,001-593-681-7718,"514 Caitlin Crossing, North Michelefurt, DC 67662","Looker, Google Data Studio, Keras, DataRobot, Machine Learning",jacqueline38@hotmail.com,ETL Developer at FlowTech; SQL Developer at DBMasters; Business Analyst at QRS Inc,Social Media Sentiment Analysis; Fraud Detection System,"M.Sc. in Statistics, 2015",IBM Data Science Professional Certificate
Erica Hunt,610.159.2848,"193 Heather Port Apt. 788, Berryberg, WA 20633","Matplotlib, AWS Redshift, Kibana, BigQuery, D3.js",josephleach@gomez-li.com,Freelance Data Consultant; SQL Developer at DBMasters; Business Analyst at QRS Inc,Sales Forecasting; Healthcare Data Analysis; Social Media Sentiment Analysis,"B.Tech in Information Technology, 2023; B.Tech in Computer Science, 2020",AWS Certified Data Analytics – Specialty
Hannah Watkins,(931)756-5979,"5863 Daniel Springs, Lake Josefurt, DC 93713","NoSQL, DataRobot, Data Wrangling, Flask, SAS",hillronald@hotmail.com,Research Assistant at University of Data; BI Developer at InsightWorks; Data Intern at XYZ Ltd,Real-time Data Pipeline; E-commerce Dashboard,"M.Sc. in Data Science, 2015; M.Sc. in Statistics, 2022",Udacity Data Analyst Nanodegree; AWS Certified Data Analytics – Specialty; Certified Analytics Professional (CAP)
Dr. Thomas Horn,737-329-3240x7460,"3646 Morris Port, Lake Brandonside, OR 27098","Deep Learning, MATLAB, Power BI, NLP, Tableau",hobbserin@gmail.com,BI Developer at InsightWorks; Junior Analyst at ABC Corp; Freelance Data Consultant,Sales Forecasting; Real-time Data Pipeline,"MBA in Business Analytics, 2021",Google Data Analytics Certificate; Certified Analytics Professional (CAP)
Dylan Oneal,975-993-8423x7323,"519 Stacy Prairie Apt. 701, Hudsonborough, HI 61625","Apache Airflow, DataRobot, Python, Time Series Analysis, NoSQL",amber14@gmail.com,Freelance Data Consultant; Data Visualization Specialist at DataViz Ltd,Healthcare Data Analysis; Credit Risk Modeling,"B.Tech in Computer Science, 2020",IBM Data Science Professional Certificate; Tableau Desktop Specialist
Christy Shaw,131.106.8898x07666,"05389 Tony Vista Apt. 831, Raymondstad, DE 67228","NoSQL, Qlik, Data Cleaning, TensorFlow, Jupyter",vbush@yahoo.com,BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd; Data Intern at XYZ Ltd,Fraud Detection System; Marketing Campaign Analysis; Sales Forecasting,"M.Tech in Data Analytics, 2019; M.Sc. in Data Science, 2023",Certified Analytics Professional (CAP)
Timothy Ray,122.957.9340x55177,"9683 Jacob Point, Port Autumnland, DE 71098","Tableau, Matplotlib, Data Wrangling, BigQuery, Data Mining",stacycollins@parker-gomez.com,Machine Learning Intern at AI Labs; ETL Developer at FlowTech,Real-time Data Pipeline; Marketing Campaign Analysis; Sales Forecasting,"M.Tech in Data Analytics, 2016",Microsoft Certified: Data Analyst Associate
Michael Oconnor,4702583413,"6328 Dixon Mews, Amandatown, ND 58567","AWS Redshift, Deep Learning, Keras, Matplotlib, MATLAB",greenmatthew@robinson-martin.biz,Research Assistant at University of Data; Machine Learning Intern at AI Labs; ETL Developer at FlowTech,Social Media Sentiment Analysis; Credit Risk Modeling; Real-time Data Pipeline,"B.Sc. in Statistics, 2017",Udacity Data Analyst Nanodegree
Gloria Lynch,924-304-0129,"071 Paul Rapids, Alexanderport, TN 36990","TensorFlow, Qlik, Python, Seaborn, Power BI",jflowers@miller.com,Data Visualization Specialist at DataViz Ltd; Business Analyst at QRS Inc; Junior Analyst at ABC Corp,Real-time Data Pipeline; Credit Risk Modeling; Sales Forecasting,"B.Tech in Information Technology, 2019; B.Sc. in Computer Science, 2023",Google Data Analytics Certificate; DataCamp Data Scientist; Tableau Desktop Specialist
Kristina Mcclure,001-249-140-6469,"148 Dean Route, Lake Pamela, RI 15495","Time Series Analysis, Tableau, Excel, NLP, Kibana",james75@powell.info,Machine Learning Intern at AI Labs; SQL Developer at DBMasters,Credit Risk Modeling; Real-time Data Pipeline; Sales Forecasting,"M.Tech in Data Analytics, 2016",Microsoft Certified: Data Analyst Associate; AWS Certified Data Analytics – Specialty; Cloudera Certified Associate (CCA) Data Analyst
Grant Thomas,(810)448-9004x646,"0379 Lewis Mountain, Sullivanshire, AL 42975","RapidMiner, Data Cleaning, MATLAB, Google Sheets, Google Analytics",mstevens@yahoo.com,Data Visualization Specialist at DataViz Ltd; BI Developer at InsightWorks; Data Intern at XYZ Ltd,Healthcare Data Analysis; Fraud Detection System; Customer Segmentation,"B.Tech in Information Technology, 2015; B.Sc. in Computer Science, 2018",Tableau Desktop Specialist
Joseph Christensen,001-398-253-2877x82424,"USS Lewis, FPO AE 07674","Business Intelligence, Amazon QuickSight, SAS, Qlik, Jupyter",kathleenmyers@alexander-cruz.com,Data Visualization Specialist at DataViz Ltd; Freelance Data Consultant,Real-time Data Pipeline; E-commerce Dashboard,"M.Sc. in Statistics, 2020",Cloudera Certified Associate (CCA) Data Analyst; Certified Analytics Professional (CAP); AWS Certified Data Analytics – Specialty
Norma Gray,(105)099-8358x254,"98502 Cochran Springs, Port Brooke, TX 61168","SAS, Flask, Excel, Looker, Hadoop",yshaw@bass.info,BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd; SQL Developer at DBMasters,Credit Risk Modeling; Social Media Sentiment Analysis,"M.Tech in Data Analytics, 2017; MBA in Business Analytics, 2018",IBM Data Science Professional Certificate; Certified Analytics Professional (CAP); Udacity Data Analyst Nanodegree
Jacqueline White,178-284-6753x15847,"7333 Collins Via, Lake Michael, MD 81059","AWS Redshift, Data Mining, SPSS, Data Cleaning, SQL",adamskenneth@yahoo.com,Data Intern at XYZ Ltd; SQL Developer at DBMasters; Business Analyst at QRS Inc; Research Assistant at University of Data,Marketing Campaign Analysis; Credit Risk Modeling; Social Media Sentiment Analysis,"MBA in Business Analytics, 2023; MBA in Business Analytics, 2020",Microsoft Certified: Data Analyst Associate; SAS Certified Data Scientist; Udacity Data Analyst Nanodegree
Loretta Graves,+1-546-685-3027x583,"79742 Smith Fords, Port Kelly, NE 00579","SAS, Spark, Tableau, Dash, Business Intelligence",adamhicks@smith.com,Machine Learning Intern at AI Labs; Research Assistant at University of Data; Data Visualization Specialist at DataViz Ltd,Marketing Campaign Analysis; Customer Segmentation; Churn Prediction,"M.Sc. in Data Science, 2016",Cloudera Certified Associate (CCA) Data Analyst; AWS Certified Data Analytics – Specialty; Tableau Desktop Specialist
Julian Wiley,(632)100-1006x7421,"369 Jamie Crest, Andrewfort, ME 56028","ETL, AWS Redshift, Exploratory Data Analysis, Snowflake, Spark",harriscasey@yahoo.com,Data Intern at XYZ Ltd; ETL Developer at FlowTech; Data Visualization Specialist at DataViz Ltd,E-commerce Dashboard; Churn Prediction; Sales Forecasting,"B.Sc. in Computer Science, 2016",Certified Analytics Professional (CAP); Udacity Data Analyst Nanodegree; DataCamp Data Scientist
David White,(512)862-6344,"927 Elizabeth Summit, New Charlesview, NY 91206","Spark, Machine Learning, Looker, Keras, Python",robert79@sosa.com,SQL Developer at DBMasters; Machine Learning Intern at AI Labs; Junior Analyst at ABC Corp; BI Developer at InsightWorks,Healthcare Data Analysis; Credit Risk Modeling,"B.Sc. in Statistics, 2016",Tableau Desktop Specialist; SAS Certified Data Scientist
Katie Sanders,+1-233-661-1938x32225,"598 Ricky Prairie Suite 400, Lake Dawn, SC 55857","SQL, Exploratory Data Analysis, Deep Learning, Google Sheets, Time Series Analysis",jonesrobert@dorsey-lewis.com,SQL Developer at DBMasters; BI Developer at InsightWorks,Fraud Detection System; Social Media Sentiment Analysis; Customer Segmentation,"B.Tech in Information Technology, 2020",DataCamp Data Scientist; IBM Data Science Professional Certificate; Cloudera Certified Associate (CCA) Data Analyst
Derrick Wright,(394)655-1146,"973 Davis Glens, South Christopherberg, IL 18323","ETL, Data Mining, DataRobot, Excel, Apache Airflow",lhill@winters.com,BI Developer at InsightWorks; ETL Developer at FlowTech,Real-time Data Pipeline; Marketing Campaign Analysis; Customer Segmentation,"B.Sc. in Mathematics, 2023; MBA in Business Analytics, 2016",Udacity Data Analyst Nanodegree; DataCamp Data Scientist; SAS Certified Data Scientist
Anthony Goodman,141.811.5813,"416 Paul Mission Apt. 933, North Jonathon, AL 92146","Statistics, Tableau, Amazon QuickSight, Matplotlib, Qlik",juliaacosta@orozco-aguilar.com,BI Developer at InsightWorks; Freelance Data Consultant,Marketing Campaign Analysis; Real-time Data Pipeline; Churn Prediction,"B.Sc. in Computer Science, 2015",Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP)
Janet Knapp,(227)846-6544,"25752 Melvin Land Suite 311, Reneeport, ME 91549","Google Analytics, Jupyter, Exploratory Data Analysis, Google Sheets, Data Governance",michael14@yahoo.com,Junior Analyst at ABC Corp; Data Visualization Specialist at DataViz Ltd,Sales Forecasting; Real-time Data Pipeline; Fraud Detection System,"B.Tech in Computer Science, 2019",IBM Data Science Professional Certificate; Microsoft Certified: Data Analyst Associate; Google Data Analytics Certificate
Leah Hooper,531.172.0123x79124,"USS Thomas, FPO AA 64067","TensorFlow, NumPy, Excel, Python, Deep Learning",cbrewer@diaz.info,SQL Developer at DBMasters; Research Assistant at University of Data; Data Visualization Specialist at DataViz Ltd; Business Analyst at QRS Inc,Healthcare Data Analysis; Real-time Data Pipeline; Churn Prediction,"B.Tech in Information Technology, 2021",Google Data Analytics Certificate; Microsoft Certified: Data Analyst Associate; IBM Data Science Professional Certificate
Johnathan Wood,+1-744-392-1692x702,"2580 Adams Inlet Apt. 822, Conwayhaven, VA 63736","Keras, BigQuery, Machine Learning, Time Series Analysis, TensorFlow",thomas89@yahoo.com,Junior Analyst at ABC Corp; Machine Learning Intern at AI Labs; Research Assistant at University of Data; SQL Developer at DBMasters,Customer Segmentation; Churn Prediction; E-commerce Dashboard,"B.Tech in Computer Science, 2018",Udacity Data Analyst Nanodegree; Google Data Analytics Certificate; Tableau Desktop Specialist
Andrew Gutierrez,101.588.1479x45660,"PSC 9227, Box 0011, APO AA 16183","SQL, Seaborn, DataRobot, MATLAB, Machine Learning",shannonjordan@hotmail.com,Business Analyst at QRS Inc; BI Developer at InsightWorks; Machine Learning Intern at AI Labs; Junior Analyst at ABC Corp,Customer Segmentation; E-commerce Dashboard; Sales Forecasting,"M.Sc. in Statistics, 2017; B.Sc. in Mathematics, 2020",Cloudera Certified Associate (CCA) Data Analyst; Udacity Data Analyst Nanodegree; IBM Data Science Professional Certificate
Robert Duncan,+1-694-962-2052x6102,"312 Morris Causeway Suite 047, Port Paulshire, IA 38435","Deep Learning, R, Flask, Time Series Analysis, Looker",kennedydavid@hotmail.com,Research Assistant at University of Data; Business Analyst at QRS Inc,Churn Prediction; Fraud Detection System; Real-time Data Pipeline,"B.Sc. in Computer Science, 2018",IBM Data Science Professional Certificate
David Martinez,001-867-091-5660,"59696 Michael Dale Apt. 834, South Eric, WA 56200","D3.js, SPSS, R, SQL, Hadoop",nicholsmichele@gmail.com,Data Intern at XYZ Ltd; Research Assistant at University of Data; BI Developer at InsightWorks; ETL Developer at FlowTech,Social Media Sentiment Analysis; Real-time Data Pipeline,"M.Sc. in Data Science, 2018; M.Sc. in Data Science, 2022",IBM Data Science Professional Certificate; Google Data Analytics Certificate
Alexander Lee,541-790-7427,"025 Osborne Ramp, North Kenneth, ME 58716","NoSQL, Spark, Exploratory Data Analysis, Google Sheets, D3.js",gberger@gmail.com,Business Analyst at QRS Inc; Machine Learning Intern at AI Labs; SQL Developer at DBMasters,Real-time Data Pipeline; Healthcare Data Analysis,"MBA in Business Analytics, 2016; B.Tech in Computer Science, 2023",Cloudera Certified Associate (CCA) Data Analyst; Certified Analytics Professional (CAP); Microsoft Certified: Data Analyst Associate
Samantha Crosby,+1-037-706-5267x57180,"Unit 1146 Box 3754, DPO AP 84375","Kibana, Data Wrangling, Deep Learning, Exploratory Data Analysis, DataRobot",ashleyalyssa@carroll.info,Data Visualization Specialist at DataViz Ltd; Data Intern at XYZ Ltd,Healthcare Data Analysis; E-commerce Dashboard; Real-time Data Pipeline,"B.Sc. in Computer Science, 2022; B.Tech in Information Technology, 2023",Cloudera Certified Associate (CCA) Data Analyst; IBM Data Science Professional Certificate
Alexandra Rose,5903896871,"6292 Scott Mission Suite 549, New Robert, MS 32998","Google Sheets, Qlik, A/B Testing, D3.js, Power BI",pcollier@evans-torres.com,Data Visualization Specialist at DataViz Ltd; Junior Analyst at ABC Corp; SQL Developer at DBMasters; Data Intern at XYZ Ltd,Fraud Detection System; Social Media Sentiment Analysis; Credit Risk Modeling,"B.Tech in Information Technology, 2022",Google Data Analytics Certificate; AWS Certified Data Analytics – Specialty
Jeremy Baker,642-240-0094,"287 Sanchez Points Suite 297, North Mariatown, DC 92793","Kibana, Exploratory Data Analysis, Qlik, Snowflake, SPSS",fperry@torres-price.com,Junior Analyst at ABC Corp; Business Analyst at QRS Inc; SQL Developer at DBMasters; Data Visualization Specialist at DataViz Ltd,Fraud Detection System; Churn Prediction; Sales Forecasting,"MBA in Business Analytics, 2023",Udacity Data Analyst Nanodegree; IBM Data Science Professional Certificate
Monica Washington,001-146-150-0875x32446,"54607 Mark Court, Sherrychester, NJ 96807","Flask, Kibana, Statistics, Keras, Seaborn",patrickscott@sullivan.info,Freelance Data Consultant; Junior Analyst at ABC Corp,Customer Segmentation; Churn Prediction,"M.Sc. in Statistics, 2015; B.Sc. in Statistics, 2019",Microsoft Certified: Data Analyst Associate; SAS Certified Data Scientist; AWS Certified Data Analytics – Specialty
Nathan Berry,953-769-2668x97045,"8712 Ann Manor Apt. 867, Valdezfort, LA 77923","Machine Learning, Dash, BigQuery, D3.js, Deep Learning",ymorrison@yahoo.com,Business Analyst at QRS Inc; SQL Developer at DBMasters,Real-time Data Pipeline; Credit Risk Modeling; Healthcare Data Analysis,"B.Sc. in Computer Science, 2023",Tableau Desktop Specialist
Zachary Mckenzie,354.769.5964,"PSC 2417, Box 7728, APO AE 11801","Data Wrangling, SPSS, R, Python, ETL",ericaweber@hansen-benson.org,Data Intern at XYZ Ltd; Data Visualization Specialist at DataViz Ltd,Healthcare Data Analysis; Social Media Sentiment Analysis,"B.Tech in Information Technology, 2021; M.Sc. in Data Science, 2020",IBM Data Science Professional Certificate
Stephen Brown,8109050014,"0111 Nicole Fields Apt. 193, Jasonside, WY 68347","Snowflake, Power BI, R, Python, A/B Testing",jeremyherring@yahoo.com,BI Developer at InsightWorks; Business Analyst at QRS Inc,Marketing Campaign Analysis; Credit Risk Modeling,"B.Sc. in Computer Science, 2015; B.Sc. in Computer Science, 2015",SAS Certified Data Scientist; Cloudera Certified Associate (CCA) Data Analyst
Bradley Holland,323-888-9570,"84528 Mitchell Highway Suite 863, Barreraside, FL 75372","Power BI, Kibana, Data Modelling, Data Wrangling, Machine Learning",shermanbradley@hotmail.com,Research Assistant at University of Data; Freelance Data Consultant; Junior Analyst at ABC Corp; Business Analyst at QRS Inc,Credit Risk Modeling; Customer Segmentation,"B.Tech in Information Technology, 2017; MBA in Business Analytics, 2015",AWS Certified Data Analytics – Specialty; IBM Data Science Professional Certificate; Tableau Desktop Specialist
Michael Harrell,(360)456-6636x3366,"4952 Johnson Center Apt. 629, North Daisy, CA 00515","Data Mining, Python, TensorFlow, ETL, Google Analytics",cathymiller@gmail.com,Freelance Data Consultant; ETL Developer at FlowTech; Business Analyst at QRS Inc,Social Media Sentiment Analysis; Marketing Campaign Analysis,"M.Sc. in Statistics, 2018",Cloudera Certified Associate (CCA) Data Analyst
Wendy Burnett,638.205.9047,"94268 Edwards Spurs Suite 863, South Tracy, DE 69941","SAS, Flask, Google Data Studio, Seaborn, Kibana",thomasfrench@barrett.com,Machine Learning Intern at AI Labs; Data Visualization Specialist at DataViz Ltd,Social Media Sentiment Analysis; Fraud Detection System; Sales Forecasting,"B.Sc. in Computer Science, 2023",Cloudera Certified Associate (CCA) Data Analyst; Tableau Desktop Specialist; Udacity Data Analyst Nanodegree
Jeffrey Cabrera,090-545-1780x6714,"924 Nelson Points, West Cynthiastad, WA 93894","Hadoop, SPSS, Tableau, Machine Learning, Google Data Studio",zwarner@day.com,Junior Analyst at ABC Corp; Freelance Data Consultant; Research Assistant at University of Data,E-commerce Dashboard; Real-time Data Pipeline; Fraud Detection System,"B.Tech in Information Technology, 2016",AWS Certified Data Analytics – Specialty; DataCamp Data Scientist; Certified Analytics Professional (CAP)
Amber Moore,+1-293-465-0558x05560,"405 Christopher Ford Suite 761, Port Melinda, NC 08705","Jupyter, Python, Statistics, Data Governance, BigQuery",heather64@bullock.biz,SQL Developer at DBMasters; Research Assistant at University of Data,Churn Prediction; Customer Segmentation,"M.Tech in Data Analytics, 2016",IBM Data Science Professional Certificate
Mark Bullock,(090)800-8823x15851,"3719 Rojas Fields, New Sara, OK 69630","Keras, Data Visualization, Deep Learning, Google Analytics, RapidMiner",evansdavid@davis.com,Freelance Data Consultant; Junior Analyst at ABC Corp; Data Intern at XYZ Ltd,Churn Prediction; Fraud Detection System,"B.Sc. in Computer Science, 2017",IBM Data Science Professional Certificate; Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP)
Mrs. Christine Thompson,+1-432-516-8543x883,"127 James Cliff Suite 405, North Renee, VA 07478","MATLAB, Data Governance, D3.js, RapidMiner, Google Data Studio",nelsonkristin@christian-jones.com,Freelance Data Consultant; ETL Developer at FlowTech,Real-time Data Pipeline; Marketing Campaign Analysis; Social Media Sentiment Analysis,"M.Tech in Data Analytics, 2016; M.Tech in Data Analytics, 2015",IBM Data Science Professional Certificate
Andrew Lozano,095-686-9144,"3005 Ashley Shoals, South Adamburgh, OH 70945","Amazon QuickSight, Data Visualization, Hadoop, Statistics, Snowflake",hlopez@hotmail.com,Data Intern at XYZ Ltd; Freelance Data Consultant; BI Developer at InsightWorks; Machine Learning Intern at AI Labs,Marketing Campaign Analysis; Customer Segmentation,"M.Sc. in Data Science, 2022; M.Sc. in Data Science, 2016",Microsoft Certified: Data Analyst Associate; SAS Certified Data Scientist; Tableau Desktop Specialist
Ryan Kelly,991.225.1018,"2120 Michael Mission Apt. 191, Heathermouth, MO 66135","Hadoop, RapidMiner, AWS Redshift, Apache Airflow, Time Series Analysis",bensonmichael@hotmail.com,BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd; Business Analyst at QRS Inc,Fraud Detection System; E-commerce Dashboard,"M.Sc. in Statistics, 2015",Udacity Data Analyst Nanodegree; AWS Certified Data Analytics – Specialty; Tableau Desktop Specialist
Victor Joseph,+1-542-269-3721x14806,"Unit 0755 Box 5241, DPO AE 79175","Data Governance, MATLAB, Dash, Data Modelling, Pandas",bridgesmeredith@wagner.com,BI Developer at InsightWorks; Business Analyst at QRS Inc,E-commerce Dashboard; Healthcare Data Analysis; Social Media Sentiment Analysis,"B.Sc. in Computer Science, 2016",DataCamp Data Scientist; Cloudera Certified Associate (CCA) Data Analyst; Microsoft Certified: Data Analyst Associate
Maurice Winters,(999)276-2998x044,"4718 Charles Walks, Landryfurt, KS 16364","RapidMiner, Machine Learning, NoSQL, Data Visualization, Looker",wallacerachael@gmail.com,Machine Learning Intern at AI Labs; Business Analyst at QRS Inc; Research Assistant at University of Data; Freelance Data Consultant,Healthcare Data Analysis; Real-time Data Pipeline; E-commerce Dashboard,"M.Sc. in Data Science, 2020",Google Data Analytics Certificate
Dr. Jeffrey Glenn,(405)656-4776x9879,"8030 Mary Groves Suite 544, Port Margaret, WA 00965","TensorFlow, Spark, Looker, Google Sheets, Excel",claytonaustin@fischer.net,Data Visualization Specialist at DataViz Ltd; Research Assistant at University of Data; Junior Analyst at ABC Corp; Freelance Data Consultant,Credit Risk Modeling; Real-time Data Pipeline; Marketing Campaign Analysis,"M.Tech in Data Analytics, 2020",Cloudera Certified Associate (CCA) Data Analyst; Certified Analytics Professional (CAP); Udacity Data Analyst Nanodegree
John Patterson,822.099.0147,"Unit 9510 Box 7460, DPO AP 45487","Dash, Google Sheets, Data Cleaning, NLP, Snowflake",jamescook@yahoo.com,Freelance Data Consultant; ETL Developer at FlowTech; Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd,Marketing Campaign Analysis; Fraud Detection System; Customer Segmentation,"M.Tech in Data Analytics, 2021",AWS Certified Data Analytics – Specialty; IBM Data Science Professional Certificate; Certified Analytics Professional (CAP)
Charles Nguyen,(181)619-6942,"71547 Mccarthy Avenue, North Andrew, MD 76412","Looker, NumPy, D3.js, MATLAB, Dash",christopherrussell@morris-lopez.com,Freelance Data Consultant; Machine Learning Intern at AI Labs; Research Assistant at University of Data,E-commerce Dashboard; Customer Segmentation,"B.Sc. in Statistics, 2023; B.Tech in Information Technology, 2017",SAS Certified Data Scientist
Robert Miller,6590781665,"5306 Stephanie Curve, Port Davidbury, WI 70867","AWS Redshift, Amazon QuickSight, Statistics, Hadoop, Qlik",hardypatrick@miller.com,Data Visualization Specialist at DataViz Ltd; BI Developer at InsightWorks; Research Assistant at University of Data; Freelance Data Consultant,Healthcare Data Analysis; E-commerce Dashboard; Churn Prediction,"B.Sc. in Mathematics, 2021; MBA in Business Analytics, 2018",Microsoft Certified: Data Analyst Associate; IBM Data Science Professional Certificate
Ronald Long,001-808-058-5469x896,"173 Paul Causeway, Johnton, VT 56911","Keras, Qlik, Seaborn, NumPy, Machine Learning",mendezgeorge@marks-rodriguez.info,Data Visualization Specialist at DataViz Ltd; Machine Learning Intern at AI Labs; SQL Developer at DBMasters; ETL Developer at FlowTech,Social Media Sentiment Analysis; E-commerce Dashboard,"M.Tech in Data Analytics, 2020; B.Tech in Information Technology, 2020",Cloudera Certified Associate (CCA) Data Analyst; SAS Certified Data Scientist; DataCamp Data Scientist
Jessica Lam,214.342.1537x571,"670 Davis Harbors, Paulamouth, AL 06933","R, Dash, RapidMiner, TensorFlow, Spark",robert41@gmail.com,Junior Analyst at ABC Corp; Machine Learning Intern at AI Labs; ETL Developer at FlowTech,Healthcare Data Analysis; E-commerce Dashboard,"B.Tech in Computer Science, 2015",DataCamp Data Scientist; IBM Data Science Professional Certificate; Cloudera Certified Associate (CCA) Data Analyst
Mary Davis,001-700-367-4700x089,"671 Megan Island Suite 256, Jonesland, UT 16296","Data Visualization, Pandas, DataRobot, TensorFlow, SAS",crystal55@gmail.com,BI Developer at InsightWorks; Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd; Junior Analyst at ABC Corp,Social Media Sentiment Analysis; Marketing Campaign Analysis; Real-time Data Pipeline,"B.Sc. in Computer Science, 2020; M.Sc. in Data Science, 2019",SAS Certified Data Scientist; AWS Certified Data Analytics – Specialty; IBM Data Science Professional Certificate
